region,hidden_size,seq_len,lr,best_epoch,val_loss,val_MAE,val_RMSE,val_MAPE
NR,64,60,0.002,1,1.6153732340882783,1.3110156282170047,1.6153732340882783,0.22238406035218083
SR,128,30,0.001,19,1.8719413272089716,1.5709889538885118,1.8719413272089716,0.2560697083169487
ER,128,60,0.001,8,0.8655904586204315,0.7097907399369414,0.8655904586204315,0.0777473820412291
WR,64,60,0.002,11,1.4514952713440399,1.2586736150493911,1.4514952713440399,0.17206357439256667
NER,32,30,0.0005,27,0.9164504244593302,0.7496398692720125,0.9164504244593302,0.2533866769727084
